# time	Ne
2.196303482902440890e-11	5.113368229449800992e+02
2.203007123778318977e-11	5.115391312286095058e+02
2.209710764654197064e-11	5.117407195321623021e+02
2.216414405530075151e-11	5.119415926176107519e+02
2.223118046405953238e-11	5.121417552068695613e+02
2.230714037329984942e-11	5.123677095359123541e+02
2.238310028254016646e-11	5.125927643841184818e+02
2.245906019178048350e-11	5.128169264369345228e+02
2.253502010102080055e-11	5.130402023137503420e+02
2.261065820385689306e-11	5.132616587617850428e+02
2.268629630669298557e-11	5.134822494245299822e+02
2.276193440952907809e-11	5.137019806467213812e+02
2.283506662203834447e-11	5.139136208463603452e+02
2.290819883454761085e-11	5.141244691043600596e+02
2.298133104705687723e-11	5.143345309886871064e+02
2.305225054103286694e-11	5.145374912964889518e+02
2.312317003500885666e-11	5.147397222625733093e+02
2.319408952898484638e-11	5.149412288198903980e+02
2.326298400419773096e-11	5.151362925411533524e+02
2.333187847941061555e-11	5.153306816810315922e+02
2.340077295462350013e-11	5.155244006355604824e+02
2.346781802705433267e-11	5.157122800844696258e+02
2.353486309948516521e-11	5.158995329476930465e+02
2.360190817191599775e-11	5.160861631658559645e+02
2.366725817824902532e-11	5.162674793879268691e+02
2.373260818458205289e-11	5.164482113445537834e+02
2.379795819091508046e-11	5.166283625872391667e+02
2.386174893648551869e-11	5.168036586541206816e+02
2.392553968205595692e-11	5.169784079874681311e+02
2.398933042762639515e-11	5.171526138039549778e+02
2.405168118159456075e-11	5.173223649502092485e+02
2.411403193556272634e-11	5.174916028393132592e+02
2.417638268953089194e-11	5.176603303978365602e+02
2.423739840075967410e-11	5.178249539155737011e+02
2.429841411198845625e-11	5.179890941979701893e+02
2.435942982321723841e-11	5.181527539185992737e+02
2.441920329773201321e-11	5.183126182024014952e+02
2.447897677224678802e-11	5.184720263094615120e+02
2.453875024676156283e-11	5.186309806913920966e+02
2.459736399769293632e-11	5.187864127767389846e+02
2.465597774862430982e-11	5.189414131848193392e+02
2.471459149955568331e-11	5.190959841714435470e+02
2.477211927285535499e-11	5.192472759091500620e+02
2.482964704615502666e-11	5.193981582448031986e+02
2.488717481945469833e-11	5.195486332606164979e+02
2.494368284653532636e-11	5.196960463729988078e+02
2.500019087361595440e-11	5.198430704139417458e+02
2.505669890069658243e-11	5.199897073110375914e+02
2.511224693110842024e-11	5.201334775555219494e+02
2.516779496152025805e-11	5.202768773498817154e+02
2.522334299193209587e-11	5.204199084834020823e+02
2.527798515056557246e-11	5.205602491061287083e+02
2.533262730919904906e-11	5.207002363900857063e+02
2.538726946783252566e-11	5.208398720003548306e+02
2.544105497154095097e-11	5.209769766216401194e+02
2.549484047524937629e-11	5.211137436754995633e+02
2.554862597895780160e-11	5.212501747150690790e+02
2.560159973974109131e-11	5.213842197567158792e+02
2.565457350052438102e-11	5.215179418080160758e+02
2.570754726130767073e-11	5.216513423208631366e+02
2.596917668254793496e-11	5.223055506105025643e+02
2.623080610378819918e-11	5.229521355221220347e+02
2.649243552502846341e-11	5.235912491403231570e+02
2.691467158449466681e-11	5.246072661778687234e+02
2.733690764396087021e-11	5.256048169391558531e+02
2.775914370342707361e-11	5.265845549820102178e+02
2.818137976289327701e-11	5.275470585860626898e+02
2.875633976197709835e-11	5.288309406262584389e+02
2.933129976106091647e-11	5.300851278517227456e+02
2.990625976014473458e-11	5.313108163445715491e+02
3.048121975922855269e-11	5.325091228664556411e+02
3.141737610721548410e-11	5.344043077975537699e+02
3.235353245520241551e-11	5.362338305550016457e+02
3.307135213629951300e-11	5.375944944766189337e+02
3.378917181739661048e-11	5.389202633679836936e+02
3.450699149849370797e-11	5.402125820527677433e+02
3.522481117959080545e-11	5.414727977615200416e+02
3.594263086068790293e-11	5.427021649324836972e+02
3.683608843702591233e-11	5.441910078311881307e+02
3.772954601336392173e-11	5.456359766264540667e+02
3.862300358970193113e-11	5.470390280843522532e+02
3.951646116603994053e-11	5.484019839958159537e+02
3.967301653456935456e-11	5.486368070086571151e+02
3.982957190309876860e-11	5.488704599937825606e+02
3.998612727162818264e-11	5.491029515974169044e+02
4.014268264015759667e-11	5.493342903907450818e+02
4.029923800868701071e-11	5.495644848417740604e+02
4.061234874574584525e-11	5.500214739841484288e+02
4.092545948280467978e-11	5.504739846834430637e+02
4.123857021986351432e-11	5.509220812878078277e+02
4.155168095692234886e-11	5.513658267313023771e+02
4.235165838451875462e-11	5.524802220979261165e+02
4.315163581211516038e-11	5.535675950735277411e+02
4.395161323971156614e-11	5.546288843946000497e+02
4.475159066730797190e-11	5.556649792175865059e+02
4.596130437096911309e-11	5.571857577389125709e+02
4.717101807463025428e-11	5.586536059458770751e+02
4.812291817509196532e-11	5.597730666571324036e+02
4.907481827555367637e-11	5.608624808947861311e+02
5.002671837601538741e-11	5.619229580120551191e+02
5.097861847647709846e-11	5.629555506496008093e+02
5.193051857693880950e-11	5.639612567250558186e+02
5.309205661996811324e-11	5.651534060912075574e+02
5.425359466299741699e-11	5.663085651144665462e+02
5.541513270602672073e-11	5.674282751260691384e+02
5.657667074905602447e-11	5.685139932193185359e+02
5.773820879208532822e-11	5.695670981140445974e+02
5.860869117536821475e-11	5.703357260903198949e+02
5.947917355865110127e-11	5.710872964801484386e+02
6.034965594193398780e-11	5.718223137103708495e+02
6.049268922507056880e-11	5.719415383326771689e+02
6.063572250820714980e-11	5.720603312675714278e+02
6.077875579134373080e-11	5.721786946078314031e+02
6.092178907448031179e-11	5.722966304319667188e+02
6.120785564075348671e-11	5.725312304946208997e+02
6.149392220702666163e-11	5.727641468680535581e+02
6.177998877329983655e-11	5.729953944728607667e+02
6.229009650835683741e-11	5.734036514313197586e+02
6.280020424341383828e-11	5.738067346188420288e+02
6.331031197847083914e-11	5.742047369414530067e+02
6.382041971352784000e-11	5.745977445097236114e+02
6.462331898579339469e-11	5.752064105153787068e+02
6.542621825805894937e-11	5.758032218804211197e+02
6.622911753032450406e-11	5.763884846284636296e+02
6.703201680259005874e-11	5.769624949099176092e+02
6.835376856364325311e-11	5.778836894839657816e+02
6.967552032469644748e-11	5.787763936176507968e+02
7.099727208574964185e-11	5.796417656596288452e+02
7.231902384680283622e-11	5.804809057456587880e+02
7.364077560785603059e-11	5.812948626512037436e+02
7.496252736890922496e-11	5.820846350717022233e+02
7.628427912996241933e-11	5.828511728096913203e+02
7.760603089101561370e-11	5.835953793831944267e+02
7.913451632972579698e-11	5.844292699413962282e+02
8.066300176843598027e-11	5.852357105513117403e+02
8.219148720714616355e-11	5.860158976694469857e+02
8.371997264585634684e-11	5.867709649711728161e+02
8.524845808456653012e-11	5.875019872819129887e+02
8.677694352327671341e-11	5.882099842281226074e+02
8.700425143177208667e-11	5.883133666647863720e+02
8.723155934026745993e-11	5.884162644461438276e+02
8.745886724876283319e-11	5.885186806458978026e+02
8.768617515725820645e-11	5.886206183088581838e+02
8.814079097424894005e-11	5.888230700369672377e+02
8.859540679123967365e-11	5.890236435243416508e+02
8.905002260823040725e-11	5.892223623115952478e+02
8.950463842522114085e-11	5.894192495783619279e+02
9.061800947103492429e-11	5.898938394786561048e+02
9.173138051684870774e-11	5.903579061611092129e+02
9.284475156266249118e-11	5.908117654249751922e+02
9.395812260847627463e-11	5.912557215900330903e+02
9.566639622910004411e-11	5.919183101901868440e+02
9.737466984972381360e-11	5.925592917836203242e+02
9.870555407687116730e-11	5.930443081411367530e+02
1.000364383040185210e-10	5.935172213726913242e+02
1.013673225311658747e-10	5.939784476090873113e+02
1.026982067583132284e-10	5.944283864642910657e+02
1.040290909854605821e-10	5.948674213173502494e+02
1.059317989365007574e-10	5.954768809344725469e+02
1.078345068875409327e-10	5.960658295006282970e+02
1.097372148385811079e-10	5.966352369572056205e+02
1.116399227896212832e-10	5.971860215509424279e+02
1.135426307406614585e-10	5.977190530974430658e+02
1.154453386917016338e-10	5.982351559713561073e+02
1.168460544503615856e-10	5.986047338239679902e+02
1.179864299687759660e-10	5.988993661549794751e+02
1.191268054871903465e-10	5.991885518994844233e+02
1.202671810056047269e-10	5.994724416871690664e+02
1.214075565240191073e-10	5.997511815738437235e+02
1.225479320424334877e-10	6.000249132372506438e+02
1.239795106796499609e-10	6.003616652318271463e+02
1.254110893168664342e-10	6.006910039972353843e+02
1.268426679540829074e-10	6.010131828730799270e+02
1.280271781216117404e-10	6.012745198539016656e+02
1.282295379413462102e-10	6.013187024751798617e+02
1.284318977610806800e-10	6.013627514853169487e+02
1.286342575808151498e-10	6.014066675367773769e+02
1.288366174005496196e-10	6.014504512783095151e+02
1.292413370400185592e-10	6.015376252593690651e+02
1.296460566794874988e-10	6.016242782544646843e+02
1.300507763189564383e-10	6.017104149463773410e+02
1.307836857364576539e-10	6.018651001453973777e+02
1.315165951539588695e-10	6.020181356746076062e+02
1.322495045714600851e-10	6.021695522694551528e+02
1.329824139889613007e-10	6.023193785555237127e+02
1.340847909085157860e-10	6.025417993089722586e+02
1.351871678280702712e-10	6.027607767928722069e+02
1.362895447476247565e-10	6.029764010849046372e+02
1.373919216671792418e-10	6.031887599219397771e+02
1.392058858110489357e-10	6.035313143769448061e+02
1.410198499549186295e-10	6.038656265510722960e+02
1.428338140987883234e-10	6.041920476210204924e+02
1.446477782426580172e-10	6.045109141638768051e+02
1.464617423865277111e-10	6.048225496615605152e+02
1.482757065303974049e-10	6.051272647179474689e+02
1.500896706742670988e-10	6.054253572624312483e+02
1.519036348181367926e-10	6.057171130955499621e+02
1.539415471609905776e-10	6.060376703813381027e+02
1.559794595038443627e-10	6.063509485886306720e+02
1.580173718466981477e-10	6.066573042226727921e+02
1.600552841895519327e-10	6.069570783391081932e+02
1.620931965324057178e-10	6.072505973111999538e+02
1.641311088752595028e-10	6.075381735526442526e+02
1.661690212181132878e-10	6.078201062033771223e+02
1.682069335609670729e-10	6.080966817724485054e+02
1.705691586816984426e-10	6.084109288493066288e+02
1.729313838024298123e-10	6.087187545775801709e+02
1.752936089231611820e-10	6.090205475901874479e+02
1.776558340438925518e-10	6.093166779127971040e+02
1.800180591646239215e-10	6.096074976915662091e+02
1.804097585604284389e-10	6.096552311594526827e+02
1.808014579562329563e-10	6.097028293438550008e+02
1.811931573520374737e-10	6.097502937170772839e+02
1.815848567478419911e-10	6.097976257391500212e+02
1.819765561436465085e-10	6.098448268580438025e+02
1.827599549352555175e-10	6.099388421099716879e+02
1.835433537268645265e-10	6.100323508091669282e+02
1.843267525184735354e-10	6.101253641255286766e+02
1.851101513100825444e-10	6.102178930458762807e+02
1.866074135046823710e-10	6.103934290669556049e+02
1.881046756992821976e-10	6.105673083796106084e+02
1.896019378938820242e-10	6.107396023487283401e+02
1.910992000884818507e-10	6.109103800055196416e+02
1.932413510835233031e-10	6.111522095188852290e+02
1.953835020785647555e-10	6.113912602417312883e+02
1.975256530736062079e-10	6.116277104236568221e+02
1.996678040686476602e-10	6.118617299115974220e+02
2.018099550636891126e-10	6.120934807632750108e+02
2.039521060587305650e-10	6.123231171038524963e+02
2.060942570537720174e-10	6.125507850319354475e+02
2.082364080488134697e-10	6.127766227637756629e+02
2.085567851043696175e-10	6.128102495378908543e+02
2.088771621599257652e-10	6.128438387302516048e+02
2.091975392154819130e-10	6.128773907602620739e+02
2.095179162710380607e-10	6.129109060432616616e+02
2.101052697356075970e-10	6.129722565979459432e+02
2.106926232001771334e-10	6.130334877904308541e+02
2.112799766647466697e-10	6.130946018896155465e+02
2.123135980653384901e-10	6.132018749177224208e+02
2.133472194659303106e-10	6.133088059269938412e+02
2.143808408665221310e-10	6.134154069514833054e+02
2.165187366968530722e-10	6.136348937142629438e+02
2.186566325271840134e-10	6.138531160130303306e+02
2.207945283575149546e-10	6.140701757094317372e+02
2.229324241878458957e-10	6.142861620789086601e+02
2.250703200181768369e-10	6.145011562333872916e+02
2.272082158485077781e-10	6.147152329389099350e+02
2.293461116788387193e-10	6.149284609941024655e+02
2.321051626358212693e-10	6.152024889023980450e+02
2.348642135928038193e-10	6.154753296448877791e+02
2.376232645497863951e-10	6.157470860768119110e+02
2.403823155067689710e-10	6.160178461099685592e+02
2.431413664637515469e-10	6.162876840439165562e+02
2.469761023497536717e-10	6.166613052357372453e+02
2.508108382357557966e-10	6.170333821304640196e+02
2.546455741217579215e-10	6.174039917446481240e+02
2.584803100077600463e-10	6.177731720553349533e+02
2.623150458937621712e-10	6.181409276430930504e+02
2.653231986741132885e-10	6.184284010364052619e+02
2.676724161167153043e-10	6.186522703339965119e+02
2.700216335593173200e-10	6.188755702835034072e+02
2.704339706308736130e-10	6.189147042573036970e+02
2.708463077024299060e-10	6.189538201307223062e+02
2.712586447739861990e-10	6.189929178128124931e+02
2.716709818455424920e-10	6.190319972106417481e+02
2.724956559886551297e-10	6.191101007710634576e+02
2.733203301317677673e-10	6.191881300392514049e+02
2.741450042748804050e-10	6.192660842214870627e+02
2.749696784179930427e-10	6.193439625040201690e+02
2.781932400174341309e-10	6.196476361021627781e+02
2.814168016168752191e-10	6.199500856603748389e+02
2.846403632163163073e-10	6.202512573248725403e+02
2.878639248157573955e-10	6.205510964250372581e+02
2.910874864151984837e-10	6.208495488566285303e+02
2.943110480146395719e-10	6.211465619795034172e+02
2.975346096140806601e-10	6.214420852830382955e+02
3.007581712135217483e-10	6.217360709523212563e+02
3.048492574414724097e-10	6.221068902982260624e+02
3.089403436694230711e-10	6.224750781203854331e+02
3.121376817483225571e-10	6.227609511109228606e+02
3.153350198272220431e-10	6.230451408800934132e+02
3.185323579061215292e-10	6.233276200463732266e+02
3.217296959850210152e-10	6.236083647515320081e+02
3.249270340639205012e-10	6.238873546061690831e+02
3.281243721428199872e-10	6.241645725066002797e+02
3.313217102217194732e-10	6.244400044070872582e+02
3.345190483006189592e-10	6.247136391270497597e+02
3.377163863795184452e-10	6.249854681830329355e+02
3.418550482002239079e-10	6.253346352557420005e+02
3.450784378995681781e-10	6.256044760043075712e+02
3.483018275989124484e-10	6.258724700681724471e+02
3.515252172982567186e-10	6.261386183733731059e+02
3.547486069976009888e-10	6.264029236056607033e+02
3.579719966969452591e-10	6.266653900438928986e+02
3.611953863962895293e-10	6.269260233943698495e+02
3.644187760956337995e-10	6.271848306401442414e+02
3.676421657949780697e-10	6.274418199090931694e+02
3.708655554943223400e-10	6.276970003523331343e+02
3.740889451936666102e-10	6.279503820274568398e+02
3.773123348930108804e-10	6.282019757899595334e+02
3.805357245923551507e-10	6.284517931968779294e+02
3.810027945686266746e-10	6.284878451709014371e+02
3.814698645448981986e-10	6.285238601411290347e+02
3.819369345211697225e-10	6.285598381458279391e+02
