# time	Ne
4.549095134131585755e-10	8.586388581035241636e+20
5.089102698523263575e-10	8.381219456584683356e+20
5.629110262914941396e-10	8.180859920758774170e+20
6.169117827306619217e-10	7.986261060594549391e+20
6.709125391698297038e-10	7.797984529707333059e+20
7.249132956089974859e-10	7.616319493625062359e+20
7.789140520481652680e-10	7.441361207591267205e+20
8.329148084873330501e-10	7.273070265252999332e+20
8.869155649265008321e-10	7.111316213684594278e+20
9.409163213656686142e-10	6.955908597094419005e+20
9.949170778048364997e-10	6.806619453116343910e+20
1.048917834244004385e-09	6.663199385573796086e+20
1.102918590683172271e-09	6.525388891670612541e+20
1.156919347122340156e-09	6.392926271929369231e+20
1.210920103561508042e-09	6.265553046058362470e+20
1.264920860000675927e-09	6.143017563060362281e+20
1.318921616439843813e-09	6.025077314229292237e+20
1.372922372879011698e-09	5.911500318487992074e+20
1.426923129318179584e-09	5.802065850626779382e+20
1.480923885757347469e-09	5.696564709789477110e+20
1.534924642196515355e-09	5.594799171458103378e+20
1.588925398635683240e-09	5.496582726656754975e+20
1.642926155074851126e-09	5.401739683088144138e+20
1.696926911514019011e-09	5.310104681661095608e+20
1.750927667953186896e-09	5.221522166339393290e+20
1.804928424392354782e-09	5.135845833917441638e+20
1.858929180831522667e-09	5.052938082091740692e+20
1.912929937270690346e-09	4.972669468230501663e+20
1.966930693709858232e-09	4.894918186942405673e+20
2.020931450149026117e-09	4.819569571464491827e+20
2.074932206588194003e-09	4.746515621700957635e+20
2.128932963027361888e-09	4.675654560208219013e+20
2.182933719466529774e-09	4.606890416359436452e+20
2.236934475905697659e-09	4.540132638203441971e+20
2.290935232344865545e-09	4.475295731062765650e+20
2.351684650732642268e-09	4.404551504177791631e+20
2.412434069120418992e-09	4.336027815339257364e+20
2.473183487508195715e-09	4.269622837719082598e+20
2.533932905895972439e-09	4.205240835474419220e+20
2.594682324283749162e-09	4.142791698036578714e+20
2.655431742671525886e-09	4.082190543906196029e+20
2.727443238988836016e-09	4.012638660524175524e+20
2.799454735306146147e-09	3.945446114235096105e+20
2.871466231623456277e-09	3.880496001668173660e+20
2.943477727940766408e-09	3.817678968729953894e+20
3.015489224258076539e-09	3.756892615938840330e+20
3.087500720575386669e-09	3.698040957509017928e+20
3.175407074372840548e-09	3.628690931104377733e+20
3.263313428170294426e-09	3.561937169840257761e+20
3.351219781967748305e-09	3.497637897456464036e+20
3.439126135765202184e-09	3.435661406597904466e+20
3.527032489562656062e-09	3.375885198960526623e+20
3.639181162194843144e-09	3.302638923223020339e+20
3.751329834827030226e-09	3.232570164015174779e+20
3.863478507459217722e-09	3.165478071519818547e+20
3.975627180091405217e-09	3.101178581544169636e+20
4.094334202416055561e-09	3.035957906504131543e+20
4.213041224740705905e-09	2.973493998724614717e+20
4.331748247065356249e-09	2.913617150342303908e+20
4.466028498212389151e-09	2.848803896971203379e+20
4.600308749359422052e-09	2.786894977957937480e+20
4.734589000506454954e-09	2.727701071924740096e+20
5.018418988869462865e-09	2.610665380892647752e+20
5.302248977232470777e-09	2.503590426851534438e+20
5.586078965595478688e-09	2.405264326278071910e+20
6.039418667059637088e-09	2.264132010003597230e+20
6.152753592425676482e-09	2.231467571921799414e+20
6.266088517791715875e-09	2.199779074432715653e+20
6.379423443157755268e-09	2.169020462707275530e+20
6.492758368523794662e-09	2.139151701372780872e+20
6.567528508714719057e-09	2.119914340102495273e+20
6.642298648905643451e-09	2.101037543326406410e+20
6.717068789096567846e-09	2.082511359507025428e+20
6.791341904960144730e-09	2.064445986162087690e+20
6.865615020823721613e-09	2.046708052588632801e+20
6.939888136687298497e-09	2.029288816959371018e+20
7.370561212757575363e-09	1.934175609404975022e+20
7.801234288827852230e-09	1.848037491155575767e+20
7.908902557845422067e-09	1.827758312056935219e+20
8.016570826862991904e-09	1.807948337486692352e+20
8.124239095880561741e-09	1.788591204789210644e+20
8.231907364898131578e-09	1.769671719569994547e+20
8.307009636072111653e-09	1.756725667030658908e+20
8.382111907246091727e-09	1.743980735685607424e+20
8.457214178420071802e-09	1.731432318583405281e+20
8.544102222122616030e-09	1.717153876473941197e+20
